Posição;Município;Código do IBGE;Abreviação;Unidade federativa;Área (km²)
738;Ibimirim;2606606;PE;Pernambuco;2 033.593
1030;Ibipeba;2912400;BA;Bahia;1 417.141
1487;Ibipitanga;2912509;BA;Bahia;945.222
1396;Ibiquera;2912608;BA;Bahia;1 010.776
4315;Ibirajuba;2606705;PE;Pernambuco;189.591
2556;Ibirapitanga;2912707;BA;Bahia;470.264
1746;Ibirapuã;2912806;BA;Bahia;786.058
3972;Ibirataia;2912905;BA;Bahia;226.139
843;Ibitiara;2913002;BA;Bahia;1 748.846
2242;Ibititá;2913101;BA;Bahia;564.921
1049;Ibotirama;2913200;BA;Bahia;1 391.232
2722;Icapuí;2305357;CE;Ceará;428.688
1011;Icatu;2105104;MA;Maranhão;1 448.796
4877;Ichu;2913309;BA;Bahia;127.965
793;Icó;2305407;CE;Ceará;1 871.980
3393;Ielmo Marinho;2404606;RN; Rio Grande do Norte;305.185
3203;Igaci;2703106;AL;Alagoas;333.586
1739;Igaporã;2913408;BA;Bahia;789.252
4279;Igaracy;2502607;PB;Paraíba;192.258
2893;Igarapé do Meio;2105153;MA;Maranhão;392.847
2969;Igarapé Grande;2105203;MA;Maranhão;374.283
3388;Igarassu;2606804;PE;Pernambuco;305.565
2403;Igrapiúna;2913457;BA;Bahia;512.837
2725;Igreja Nova;2703205;AL;Alagoas;428.550
1639;Iguaraci;2606903;PE;Pernambuco;838.124
1378;Iguatudesambiguação;2305506;CE;Ceará;1 029.002
1649;Iguaí;2913507;BA;Bahia;833.333
5476;Ilha das Floresdesambiguação;2802700;SE;Sergipe;52.816
5399;Ilha de Itamaracá;2607604;PE;Pernambuco;65.411
4812;Ilha Grandedesambiguação;2204659;PI;Piauí;134.318
803;Ilhéus;2913606;BA;Bahia;1 840.991
2869;Imaculada;2506707;PB;Paraíba;399.409
1066;Imperatriz;2105302;MA;Maranhão;1 367.901
1237;Inajá;2607000;PE;Pernambuco;1 182.159
473;Independência;2305605;CE;Ceará;3 218.641
3330;Indiaroba;2802809;SE;Sergipe;313.576
3842;Ingazeira;2607109;PE;Pernambuco;243.666
3512;Ingá;2506806;PB;Paraíba;287.969
1253;Inhambupe;2913705;BA;Bahia;1 163.561
2971;Inhapi;2703304;AL;Alagoas;374.161
1367;Inhuma;2204709;PI;Piauí;1 042.815
2970;Ipanguaçu;2404705;RN; Rio Grande do Norte;374.239
1911;Ipaporanga;2305654;CE;Ceará;701.990
3620;Ipaumirim;2305704;CE;Ceará;273.696
2889;Ipecaetá;2913804;BA;Bahia;393.904
3520;Ipiaú;2913903;BA;Bahia;286.597
2354;Ipiranga do Piauí;2204808;PI;Piauí;527.716
515;Ipirá;2914000;BA;Bahia;3 023.659
2356;Ipojuca;2607208;PE;Pernambuco;527.317
2074;Ipu;2305803;CE;Ceará;630.468
1988;Ipubi;2607307;PE;Pernambuco;665.624
4882;Ipueira;2404804;RN; Rio Grande do Norte;127.347
992;Ipueirasdesambiguação;2305902;CE;Ceará;1 474.108
1240;Ipupiara;2914109;BA;Bahia;1 179.535
1676;Iracema;2306009;CE;Ceará;822.833
2936;Irajuba;2914208;BA;Bahia;383.371
769;Iramaia;2914307;BA;Bahia;1 948.488
1720;Iraquara;2914406;BA;Bahia;800.332
3873;Irará;2914505;BA;Bahia;239.659
1003;Irauçuba;2306108;CE;Ceará;1 461.223
3329;Irecê;2914604;BA;Bahia;313.695
1991;Isaías Coelho;2204907;PI;Piauí;664.660
4037;Itabaianadesambiguação;2506905;PB;Paraíba;218.847
3180;Itabaianadesambiguação;2802908;SE;Sergipe;336.685
2473;Itabaianinha;2803005;SE;Sergipe;493.310
1604;Itabela;2914653;BA;Bahia;853.267
648;Itaberaba;2914703;BA;Bahia;2 357.185
4254;Itabi;2803104;SE;Sergipe;195.086
2654;Itabuna;2914802;BA;Bahia;443.198
1848;Itacaré;2914901;BA;Bahia;730.280
2717;Itacuruba;2607406;PE;Pernambuco;430.010
1224;Itaetê;2915007;BA;Bahia;1 194.489
3409;Itagi;2915106;BA;Bahia;303.462
1702;Itagibá;2915205;BA;Bahia;810.340
1687;Itagimirim;2915304;BA;Bahia;817.306
340;Itaguaçu da Bahia;2915353;BA;Bahia;4 396.339
1701;Itainópolis;2205003;PI;Piauí;810.752
956;Itaipava do Grajaú;2105351;MA;Maranhão;1 540.286
4663;Itaitinga;2306256;CE;Ceará;150.788
4112;Itaiçaba;2306207;CE;Ceará;209.490
1198;Itaju do Colônia;2915403;BA;Bahia;1 217.535
3460;Itajuípe;2915502;BA;Bahia;295.912
4172;Itajádesambiguação;2404853;RN; Rio Grande do Norte;203.623
644;Itamaraju;2915601;BA;Bahia;2 369.912
4839;Itamari;2915700;BA;Bahia;131.469
901;Itambédesambiguação;2915809;BA;Bahia;1 625.681
3403;Itambédesambiguação;2607653;PE;Pernambuco;304.383
2625;Itanagra;2915908;BA;Bahia;452.375
1013;Itanhém;2916005;BA;Bahia;1 445.063
2671;Itapagé;2306306;CE;Ceará;439.501
4981;Itaparica;2916104;BA;Bahia;115.922
1443;Itapebi;2916302;BA;Bahia;972.036
1250;Itapecuru Mirim;2105401;MA;Maranhão;1 165.585
2838;Itapetim;2607703;PE;Pernambuco;404.824
912;Itapetinga;2916401;BA;Bahia;1 609.515
950;Itapicuru;2916500;BA;Bahia;1 550.832
909;Itapipoca;2306405;CE;Ceará;1 614.682
5344;Itapissuma;2607752;PE;Pernambuco;74.249
2804;Itapitanga;2916609;BA;Bahia;410.422
2186;Itapiúna;2306504;CE;Ceará;588.684
1793;Itaporanga d'Ajuda;2803203;SE;Sergipe;757.283
2566;Itaporangadesambiguação;2507002;PB;Paraíba;468.069
4715;Itapororoca;2507101;PB;Paraíba;146.067
2653;Itapé;2916203;BA;Bahia;443.270
3450;Itaquara;2916708;BA;Bahia;296.896
5107;Itaquitinga;2607802;PE;Pernambuco;103.442
828;Itarantim;2916807;BA;Bahia;1 783.747
1870;Itarema;2306553;CE;Ceará;720.668
2221;Itatim;2916856;BA;Bahia;574.259
1753;Itatira;2306603;CE;Ceará;783.347
3835;Itatuba;2507200;PB;Paraíba;244.205
601;Itaueira;2205102;PI;Piauí;2 534.502
1345;Itaíba;2607505;PE;Pernambuco;1 068.286
4823;Itaú;2404903;RN; Rio Grande do Norte;133.032
423;Itinga do Maranhão;2105427;MA;Maranhão;3 590.033
3414;Itiruçu;2916906;BA;Bahia;302.926
850;Itiúba;2917003;BA;Bahia;1 730.792
3217;Itororó;2917102;BA;Bahia;330.716
1201;Ituaçu;2917201;BA;Bahia;1 216.149
2773;Ituberá;2917300;BA;Bahia;417.542
1317;Iuiú;2917334;BA;Bahia;1 095.715
3743;Jaboatão dos Guararapes;2607901;PE;Pernambuco;256.073
143;Jaborandi;2917359;BA;Bahia;9 479.853
1175;Jacaraci;2917409;BA;Bahia;1 241.918
3764;Jacaraú;2507309;PB;Paraíba;253.206
4746;Jacaré dos Homens;2703403;AL;Alagoas;142.344
656;Jacobina;2917508;BA;Bahia;2 319.825
1014;Jacobina do Piauí;2205151;PI;Piauí;1 443.257
4061;Jacuípe;2703502;AL;Alagoas;216.762
1462;Jaguaquara;2917607;BA;Bahia;960.398
596;Jaguarari;2917706;BA;Bahia;2 567.158
837;Jaguaretama;2306702;CE;Ceará;1 759.722
1987;Jaguaribara;2306801;CE;Ceará;668.291
790;Jaguaribe;2306900;CE;Ceará;1 876.793
1562;Jaguaripe;2917805;BA;Bahia;891.345
1585;Jaguaruana;2307007;CE;Ceará;867.251
1601;Jaicós;2205201;PI;Piauí;854.342
2044;Jandaíra;2917904;BA;Bahia;642.652
2687;Jandaíra;2405108;RN; Rio Grande do Norte;435.678
3395;Janduís;2405207;RN; Rio Grande do Norte;304.899
5252;Japaratinga;2703601;AL;Alagoas;85.502
3048;Japaratuba;2803302;SE;Sergipe;359.513
4325;Japidesambiguação;2405405;RN; Rio Grande do Norte;188.990
2758;Japoatã;2803401;SE;Sergipe;420.491
5230;Jaqueiradesambiguação;2607950;PE;Pernambuco;89.096
5104;Jaramataia;2703700;AL;Alagoas;103.710
2609;Jardim;2307106;CE;Ceará;457.034
3757;Jardim de Angicos;2405504;RN; Rio Grande do Norte;254.045
3219;Jardim de Piranhas;2405603;RN; Rio Grande do Norte;330.533
2596;Jardim do Mulato;2205250;PI;Piauí;460.518
3001;Jardim do Seridó;2405702;RN; Rio Grande do Norte;368.643
1876;Jataúba;2608008;PE;Pernambuco;719.217
3337;Jati;2307205;CE;Ceará;312.584
2911;Jatobá;2105450;MA;Maranhão;387.083
3587;Jatobá;2608057;PE;Pernambuco;277.856
1993;Jatobá do Piauí;2205276;PI;Piauí;663.797
5467;Jaçanã;2405009;RN; Rio Grande do Norte;54.558
974;Jenipapo dos Vieiras;2105476;MA;Maranhão;1 507.458
3169;Jequiá da Praia;2703759;AL;Alagoas;338.600
513;Jequié;2918001;BA;Bahia;3 035.423
318;Jeremoabo;2918100;BA;Bahia;4 761.114
4410;Jericó;2507408;PB;Paraíba;179.311
865;Jerumenha;2205300;PI;Piauí;1 693.772
4187;Jijoca de Jericoacoara;2307254;CE;Ceará;201.858
3891;Jiquiriçá;2918209;BA;Bahia;236.255
3207;Jitaúna;2918308;BA;Bahia;332.805
3877;Joaquim Gomes;2703809;AL;Alagoas;238.595
4929;Joaquim Nabuco;2608206;PE;Pernambuco;121.884
1833;Joaquim Pires;2205409;PI;Piauí;739.570
4516;Joca Marques;2205458;PI;Piauí;166.441
1960;Joselândia;2105609;MA;Maranhão;681.684
4966;José da Penha;2406007;RN; Rio Grande do Norte;117.634
958;José de Freitas;2205508;PI;Piauí;1 538.205
4818;João Alfredo;2608107;PE;Pernambuco;133.524
854;João Costa;2205359;PI;Piauí;1 716.165
1888;João Câmara;2405801;RN; Rio Grande do Norte;714.951
5240;João Diasdesambiguação;2405900;RN; Rio Grande do Norte;88.173
1428;João Dourado;2918357;BA;Bahia;984.019
1284;João Lisboa;2105500;MA;Maranhão;1 126.517
4100;João Pessoa;2507507;PB;Paraíba;210.551
5282;Juarez Távora;2507606;PB;Paraíba;82.593
2569;Juazeirinho;2507705;PB;Paraíba;467.526
232;Juazeiro;2918407;BA;Bahia;6 389.623
3797;Juazeiro do Norte;2307304;CE;Ceará;248.558
1658;Juazeiro do Piauí;2205516;PI;Piauí;827.199
4938;Jucati;2608255;PE;Pernambuco;120.654
1508;Jucurutu;2406106;RN; Rio Grande do Norte;933.718
1017;Jucuruçu;2918456;BA;Bahia;1 438.463
1499;Jucás;2307403;CE;Ceará;937.180
2320;Junco do Maranhão;2105658;MA;Maranhão;539.126
4479;Junco do Seridó;2507804;PB;Paraíba;170.415
4945;Jundiádesambiguação;2703908;AL;Alagoas;119.713
5499;Jundiádesambiguação;2406155;RN; Rio Grande do Norte;45.261
3756;Junqueiro;2704005;AL;Alagoas;254.067
5016;Jupi;2608305;PE;Pernambuco;112.531
4691;Juremadesambiguação;2608404;PE;Pernambuco;148.246
1131;Juremadesambiguação;2205532;PI;Piauí;1 297.315
5314;Juripiranga;2507903;PB;Paraíba;78.761
2845;Juru;2508000;PB;Paraíba;403.276
1567;Jussara;2918506;BA;Bahia;886.019
3065;Jussari;2918555;BA;Bahia;356.735
2371;Jussiape;2918605;BA;Bahia;523.395
1134;Júlio Borges;2205524;PI;Piauí;1 290.413
3093;Lafaiete Coutinho;2918704;BA;Bahia;352.658
1449;Lagarto;2803500;SE;Sergipe;969.226
896;Lago da Pedra;2105708;MA;Maranhão;1 636.467
3370;Lago do Junco;2105807;MA;Maranhão;308.771
4251;Lago dos Rodrigues;2105948;MA;Maranhão;195.222
2597;Lago Verde;2105906;MA;Maranhão;460.218
4423;Lagoa;2508109;PB;Paraíba;177.900
2887;Lagoa Alegre;2205557;PI;Piauí;394.658
5088;Lagoa d'Anta;2406205;RN; Rio Grande do Norte;105.650
5112;Lagoa da Canoa;2704104;AL;Alagoas;102.831
5262;Lagoa de Dentro;2508208;PB;Paraíba;84.505
4965;Lagoa de Pedras;2406304;RN; Rio Grande do Norte;117.660
4607;Lagoa de São Francisco;2205573;PI;Piauí;155.637
5012;Lagoa de Velhos;2406403;RN; Rio Grande do Norte;112.832
1127;Lagoa do Barro do Piauí;2205565;PI;Piauí;1 300.538
5376;Lagoa do Carro;2608453;PE;Pernambuco;69.870
5451;Lagoa do Itaenga;2608503;PE;Pernambuco;57.903
1135;Lagoa do Mato;2105922;MA;Maranhão;1 288.863
4217;Lagoa do Ouro;2608602;PE;Pernambuco;198.768
2729;Lagoa do Piauí;2205581;PI;Piauí;427.195
1738;Lagoa do Sítio;2205599;PI;Piauí;789.710
3915;Lagoa dos Gatos;2608701;PE;Pernambuco;233.165
1843;Lagoa Grande do Maranhão;2105963;MA;Maranhão;733.635
796;Lagoa Grandedesambiguação;2608750;PE;Pernambuco;1 852.186
4435;Lagoa Nova;2406502;RN; Rio Grande do Norte;176.299
1414;Lagoa Real;2918753;BA;Bahia;996.292
5307;Lagoa Salgada;2406601;RN; Rio Grande do Norte;79.515
5054;Lagoa Seca;2508307;PB;Paraíba;109.342
5393;Lagoinha do Piauí;2205540;PI;Piauí;67.507
1363;Lajeado Novo;2105989;MA;Maranhão;1 047.725
2453;Lajedesambiguação;2918803;BA;Bahia;498.089
1706;Lajedinho;2919009;BA;Bahia;807.336
2748;Lajedo do Tabocal;2919058;BA;Bahia;423.785
4324;Lajedodesambiguação;2608800;PE;Pernambuco;189.055
2119;Lajedão;2918902;BA;Bahia;613.907
4852;Lajes Pintadas;2406809;RN; Rio Grande do Norte;130.208
1968;Lajesdesambiguação;2406700;RN; Rio Grande do Norte;676.417
3073;Lamarão;2919108;BA;Bahia;356.002
1226;Landri Sales;2205607;PI;Piauí;1 193.316
2055;Lapão;2919157;BA;Bahia;638.317
4546;Laranjeiras;2803609;SE;Sergipe;162.538
5114;Lastrodesambiguação;2508406;PB;Paraíba;102.668
5439;Lauro de Freitas;2919207;BA;Bahia;59.905
1482;Lavras da Mangabeira;2307502;CE;Ceará;947.957
1176;Lençóis;2919306;BA;Bahia;1 240.362
1749;Licínio de Almeida;2919405;BA;Bahia;785.417
3280;Lima Campos;2106003;MA;Maranhão;321.932
3640;Limoeiro;2608909;PE;Pernambuco;269.970
3321;Limoeiro de Anadia;2704203;AL;Alagoas;315.668
1807;Limoeiro do Norte;2307601;CE;Ceará;751.535
666;Livramento de Nossa Senhora;2919504;BA;Bahia;2 267.021
3544;Livramentodesambiguação;2508505;PB;Paraíba;283.155
5517;Logradouro;2508554;PB;Paraíba;37.996
421;Loreto;2106102;MA;Maranhão;3 596.888
5227;Lucenadesambiguação;2508604;PB;Paraíba;89.202
5541;Lucréciadesambiguação;2406908;RN; Rio Grande do Norte;30.935
1909;Luzilândia;2205805;PI;Piauí;704.433
1343;Luís Correiadesambiguação;2205706;PI;Piauí;1 071.276
2574;Luís Domingues;2106201;MA;Maranhão;466.762
369;Luís Eduardo Magalhães;2919553;BA;Bahia;4 018.778
4511;Luís Gomes;2407005;RN; Rio Grande do Norte;166.637
1902;Macajuba;2919603;BA;Bahia;707.098
4788;Macambira;2803708;SE;Sergipe;137.366
4892;Macaparana;2609006;PE;Pernambuco;126.353
1063;Macarani;2919702;BA;Bahia;1 371.657
1741;Macau;2407203;RN; Rio Grande do Norte;788.022
2405;Macaíba;2407104;RN; Rio Grande do Norte;512.487
511;Macaúbas;2919801;BA;Bahia;3 039.268
2409;Maceió;2704302;AL;Alagoas;510.655
5457;Machados;2609105;PE;Pernambuco;56.957
664;Macururé;2919900;BA;Bahia;2 278.726
1372;Madalenadesambiguação;2307635;CE;Ceará;1 034.773
4428;Madeiro;2205854;PI;Piauí;177.219
5559;Madre de Deusdesambiguação;2919926;BA;Bahia;11.141
3002;Maetinga;2919959;BA;Bahia;368.390
2699;Magalhães de Almeida;2106300;MA;Maranhão;433.141
2793;Maiquinique;2920007;BA;Bahia;413.863
1542;Mairi;2920106;BA;Bahia;905.851
2623;Major Isidoro;2704401;AL;Alagoas;453.893
5538;Major Sales;2407252;RN; Rio Grande do Norte;31.971
699;Malhada;2920205;BA;Bahia;2 138.093
2520;Malhada de Pedras;2920304;BA;Bahia;479.393
5424;Malhada dos Bois;2803807;SE;Sergipe;62.372
5128;Malhador;2803906;SE;Sergipe;100.940
4597;Malta;2508802;PB;Paraíba;156.242
3117;Mamanguape;2508901;PB;Paraíba;348.745
2828;Manari;2609154;PE;Pernambuco;406.636
3094;Manaíra;2509008;PB;Paraíba;352.566
905;Manoel Emídio;2205904;PI;Piauí;1 618.951
639;Manoel Vitorino;2920403;BA;Bahia;2 400.228
489;Mansidão;2920452;BA;Bahia;3 142.825
5212;Mar Vermelho;2704906;AL;Alagoas;91.538
5087;Maracanaú;2307650;CE;Ceará;105.696
2078;Maracaçumé;2106326;MA;Maranhão;629.330
623;Maracás;2920502;BA;Bahia;2 435.201
3201;Maragogi;2704500;AL;Alagoas;333.733
2684;Maragogipe;2920601;BA;Bahia;436.072
4237;Maraial;2609204;PE;Pernambuco;196.246
1670;Marajá do Sena;2106359;MA;Maranhão;824.044
2182;Maranguape;2307700;CE;Ceará;590.824
1470;Maranhãozinho;2106375;MA;Maranhão;956.064
3580;Maravilhadesambiguação;2704609;AL;Alagoas;279.462
1768;Maraú;2920700;BA;Bahia;774.447
4917;Marcação;2509057;PB;Paraíba;122.897
3138;Marcelino Vieira;2407302;RN; Rio Grande do Norte;345.707
1256;Marcionílio Souza;2920809;BA;Bahia;1 162.138
2222;Marcodesambiguação;2307809;CE;Ceará;574.148
4790;Marcolândia;2205953;PI;Piauí;137.069
1764;Marcos Parente;2206001;PI;Piauí;775.767
3204;Marechal Deodoro;2704708;AL;Alagoas;333.548
4616;Mari;2509107;PB;Paraíba;154.726
4470;Maribondo;2704807;AL;Alagoas;171.279
5414;Marizópolis;2509156;PB;Paraíba;63.609
4486;Martinsdesambiguação;2407401;RN; Rio Grande do Norte;169.466
3440;Martinópole;2307908;CE;Ceará;298.948
5183;Maruim;2804003;SE;Sergipe;94.293
1898;Mascote;2920908;BA;Bahia;709.253
2227;Massapê;2308005;CE;Ceará;571.531
2364;Massapê do Piauí;2206050;PI;Piauí;525.619
4147;Massarandubadesambiguação;2509206;PB;Paraíba;205.941
1983;Mata de São João;2921005;BA;Bahia;670.380
1539;Mata Grande;2705002;AL;Alagoas;908.264
2293;Mata Roma;2106409;MA;Maranhão;548.411
4445;Mataraca;2509305;PB;Paraíba;174.398
3970;Matias Olímpio;2206100;PI;Piauí;226.220
1769;Matina;2921054;BA;Bahia;773.386
2813;Matinha;2106508;MA;Maranhão;408.726
5516;Matinhas;2509339;PB;Paraíba;38.123
5269;Mato Grosso;2509370;PB;Paraíba;83.521
3221;Matriz de Camaragibe;2705101;AL;Alagoas;330.061
5267;Maturéia;2509396;PB;Paraíba;83.714
794;Matões;2106607;MA;Maranhão;1 858.007
1757;Matões do Norte;2106631;MA;Maranhão;781.963
1301;Mauriti;2308104;CE;Ceará;1 111.856
4841;Maxaranguape;2407500;RN; Rio Grande do Norte;131.300
1169;Medeiros Neto;2921104;BA;Bahia;1 245.749
4724;Meruoca;2308203;CE;Ceará;144.940
5011;Messias;2705200;AL;Alagoas;112.856
4805;Messias Targino;2407609;RN; Rio Grande do Norte;135.094
1047;Miguel Alves;2206209;PI;Piauí;1 393.708
999;Miguel Calmon;2921203;BA;Bahia;1 465.438
5341;Miguel Leão;2206308;PI;Piauí;74.517
3376;Milagres;2921302;BA;Bahia;307.779
2297;Milagres;2308302;CE;Ceará;546.637
2673;Milagres do Maranhão;2106672;MA;Maranhão;439.365
2439;Milhã;2308351;CE;Ceará;502.036
1062;Milton Brandão;2206357;PI;Piauí;1 371.766
4531;Minador do Negrão;2705309;AL;Alagoas;164.476
161;Miradordesambiguação;2106706;MA;Maranhão;8 609.822
3083;Miranda do Norte;2106755;MA;Maranhão;353.553
1704;Mirandiba;2609303;PE;Pernambuco;809.255
766;Mirangaba;2921401;BA;Bahia;1 952.295
1515;Mirante;2921450;BA;Bahia;927.826
1919;Miraíma;2308377;CE;Ceará;699.588
1947;Mirinzal;2106805;MA;Maranhão;687.732
2025;Missão Velha;2308401;CE;Ceará;651.108
4035;Mogeiro;2509404;PB;Paraíba;218.993
5168;Moita Bonita;2804102;SE;Sergipe;95.820
706;Mombaçadesambiguação;2308500;CE;Ceará;2 119.462
2200;Monsenhor Gil;2206407;PI;Piauí;582.058
2899;Monsenhor Hipólito;2206506;PI;Piauí;391.304
1566;Monsenhor Tabosa;2308609;CE;Ceará;886.303
5551;Montadas;2509503;PB;Paraíba;25.924
5286;Montanhas;2407708;RN; Rio Grande do Norte;82.213
2824;Monte Alegre de Sergipe;2804201;SE;Sergipe;407.409
632;Monte Alegre do Piauí;2206605;PI;Piauí;2 417.854
4212;Monte Alegredesambiguação;2407807;RN; Rio Grande do Norte;199.519
5363;Monte das Gameleiras;2407906;RN; Rio Grande do Norte;71.945
4978;Monte Horebe;2509602;PB;Paraíba;116.172
459;Monte Santo;2921500;BA;Bahia;3 285.166
1426;Monteiro;2509701;PB;Paraíba;986.370
5246;Monteirópolis;2705408;AL;Alagoas;86.097
1093;Montes Altos;2107001;MA;Maranhão;1 338.390
1085;Monção;2106904;MA;Maranhão;1 345.041
551;Morada Nova;2308708;CE;Ceará;2 779.229
2780;Moraújo;2308807;CE;Ceará;415.614
2057;Moreilândia;2614303;PE;Pernambuco;637.599
4242;Moreno;2609402;PE;Pernambuco;195.603
848;Morpará;2921609;BA;Bahia;1 731.929
2812;Morrinhosdesambiguação;2308906;CE;Ceará;408.878
684;Morro Cabeça no Tempo;2206654;PI;Piauí;2 210.922
274;Morro do Chapéu;2921708;BA;Bahia;5 531.854
3233;Morro do Chapéu do Piauí;2206670;PI;Piauí;328.284
855;Morros;2107100;MA;Maranhão;1 715.325
1982;Mortugaba;2921807;BA;Bahia;670.608
709;Mossoró;2408003;RN; Rio Grande do Norte;2 110.207
4304;Mucambo;2309003;CE;Ceará;190.538
611;Mucugê;2921906;BA;Bahia;2 482.204
836;Mucuri;2922003;BA;Bahia;1 774.763
4282;Mulungu;2509800;PB;Paraíba;192.211
2390;Mulungu do Morro;2922052;BA;Bahia;517.598
4809;Mulungudesambiguação;2309102;CE;Ceará;134.594
979;Mundo Novodesambiguação;2922102;BA;Bahia;1 496.144
5003;Muniz Ferreira;2922201;BA;Bahia;113.706
394;Muquém de São Francisco;2922250;BA;Bahia;3 833.915
5312;Muribeca;2804300;SE;Sergipe;79.147
2510;Murici dos Portelas;2206696;PI;Piauí;481.521
2745;Muricidesambiguação;2705507;AL;Alagoas;423.983
5037;Muritiba;2922300;BA;Bahia;110.562
3621;Mutuípe;2922409;BA;Bahia;273.320
4427;Mãe d'Águadesambiguação;2508703;PB;Paraíba;177.250
4480;Natal;2408102;RN; Rio Grande do Norte;170.298
4283;Natuba;2509909;PB;Paraíba;192.166
4451;Nazarezinho;2510006;PB;Paraíba;173.244
3737;Nazaré;2922508;BA;Bahia;256.352
4661;Nazaré da Mata;2609501;PE;Pernambuco;150.816
1111;Nazaré do Piauí;2206704;PI;Piauí;1 311.565
3716;Neópolis;2804409;SE;Sergipe;259.334
2922;Nilo Peçanha;2922607;BA;Bahia;385.381
2224;Nina Rodrigues;2107209;MA;Maranhão;572.513
2552;Nordestina;2922656;BA;Bahia;470.916
3158;Nossa Senhora Aparecida;2804458;SE;Sergipe;340.378
1797;Nossa Senhora da Glória;2804508;SE;Sergipe;756.485
2550;Nossa Senhora das Dores;2804607;SE;Sergipe;471.001
5298;Nossa Senhora de Lourdes;2804706;SE;Sergipe;80.421
3067;Nossa Senhora de Nazaré;2206753;PI;Piauí;356.341
4590;Nossa Senhora do Socorro;2804805;SE;Sergipe;157.515
3052;Nossa Senhora dos Remédios;2206803;PI;Piauí;358.364
1792;Nova Canaã;2922706;BA;Bahia;757.461
1825;Nova Colinas;2107258;MA;Maranhão;743.100
3590;Nova Cruz;2408300;RN; Rio Grande do Norte;277.657
5444;Nova Floresta;2510105;PB;Paraíba;58.839
2982;Nova Fátimadesambiguação;2922730;BA;Bahia;371.480
4402;Nova Ibiá;2922755;BA;Bahia;180.701
1438;Nova Iorque;2107308;MA;Maranhão;976.629
2611;Nova Itarana;2922805;BA;Bahia;456.256
3536;Nova Olinda;2309201;CE;Ceará;284.404
5263;Nova Olinda;2510204;PB;Paraíba;84.253
615;Nova Olinda do Maranhão;2107357;MA;Maranhão;2 464.124
3357;Nova Palmeira;2510303;PB;Paraíba;310.348
2408;Nova Redenção;2922854;BA;Bahia;510.918
1826;Nova Russas;2309300;CE;Ceará;742.763
1288;Nova Santa Ritadesambiguação;2207959;PI;Piauí;1 119.144
1390;Nova Soure;2922904;BA;Bahia;1 021.277
1099;Nova Viçosa;2923001;BA;Bahia;1 326.122
2121;Novo Horizontedesambiguação;2923035;BA;Bahia;612.451
4386;Novo Lino;2705606;AL;Alagoas;182.288
1480;Novo Oriente;2309409;CE;Ceará;949.206
2446;Novo Oriente do Piauí;2206902;PI;Piauí;500.467
2351;Novo Santo Antônio;2206951;PI;Piauí;528.408
4045;Novo Triunfo;2923050;BA;Bahia;217.894
3385;Nísia Floresta;2408201;RN; Rio Grande do Norte;306.051
1782;Ocara;2309458;CE;Ceará;765.366
562;Oeirasdesambiguação;2207009;PI;Piauí;2 719.536
2168;Olho d'Água;2510402;PB;Paraíba;596.123
2277;Olho d'Água das Cunhãs;2107407;MA;Maranhão;552.619
4376;Olho d'Água das Flores;2705705;AL;Alagoas;183.440
3271;Olho d'Água do Casado;2705804;AL;Alagoas;322.945
4022;Olho d'Água do Piauí;2207108;PI;Piauí;220.127
4952;Olho d'Água Grande;2705903;AL;Alagoas;118.508
4752;Olho-d'Água do Borges;2408409;RN; Rio Grande do Norte;141.170
5505;Olinda;2609600;PE;Pernambuco;43.548
4229;Olinda Nova do Maranhão;2107456;MA;Maranhão;197.630
2220;Olindina;2923100;BA;Bahia;575.412
3311;Olivedos;2510501;PB;Paraíba;317.900
426;Oliveira dos Brejinhos;2923209;BA;Bahia;3 563.908
4452;Olivença;2706000;AL;Alagoas;172.957
4755;Orobó;2609709;PE;Pernambuco;140.785
2270;Orocó;2609808;PE;Pernambuco;554.752
2216;Orós;2309508;CE;Ceará;576.269
629;Ouricuri;2609907;PE;Pernambuco;2 422.860
4693;Ouriçangas;2923308;BA;Bahia;148.166
4157;Ouro Branco;2706109;AL;Alagoas;204.841
3763;Ouro Branco;2408508;RN; Rio Grande do Norte;253.300
4861;Ouro Velho;2510600;PB;Paraíba;129.399
1143;Ourolândia;2923357;BA;Bahia;1 276.011
3753;Pacajus;2309607;CE;Ceará;254.435
4831;Pacatubadesambiguação;2309706;CE;Ceará;132.427
3022;Pacatubadesambiguação;2804904;SE;Sergipe;363.761
5022;Pacoti;2309805;CE;Ceará;111.959
5334;Pacujá;2309904;CE;Ceará;76.100
3298;Padre Marcos;2207207;PI;Piauí;319.124
3111;Paes Landim;2207306;PI;Piauí;349.679
1334;Pajeú do Piauí;2207355;PI;Piauí;1 075.263
5487;Palestina;2706208;AL;Alagoas;48.884
2656;Palhano;2310001;CE;Ceará;442.785
3179;Palmares;2610004;PE;Pernambuco;336.838
549;Palmas de Monte Alto;2923407;BA;Bahia;2 789.417
743;Palmeira do Piauí;2207405;PI;Piauí;2 021.228
2593;Palmeira dos Índios;2706307;AL;Alagoas;460.610
1073;Palmeirais;2207504;PI;Piauí;1 360.307
1927;Palmeiras;2923506;BA;Bahia;695.719
4583;Palmeirina;2610103;PE;Pernambuco;158.014
2363;Palmeirândia;2107605;MA;Maranhão;525.633
4964;Palmácia;2310100;CE;Ceará;117.816
2985;Panelas;2610202;PE;Pernambuco;371.157
2636;Paquetá;2207553;PI;Piauí;448.457
