Posição;Município;Código do IBGE;Abreviação;Unidade federativa;Área (km²)
3917;Cacimba de Areia;2503407;PB;Paraíba;233.037
4396;Cacimba de Dentro;2503506;PB;Paraíba;181.221
4737;Cacimbas;2503555;PB;Paraíba;142.926
3623;Cacimbinhas;2701209;AL;Alagoas;272.978
1949;Caculé;2905008;BA;Bahia;685.914
1597;Caetanos;2905156;BA;Bahia;857.282
659;Caetité;2905206;BA;Bahia;2 306.382
3220;Caetésdesambiguação;2603207;PE;Pernambuco;330.472
1516;Cafarnaum;2905305;BA;Bahia;927.491
1188;Caicó;2402006;RN; Rio Grande do Norte;1 228.574
2628;Cairu;2905404;BA;Bahia;451.194
4878;Caiçara;2503605;PB;Paraíba;127.911
4317;Caiçara do Norte;2401859;RN; Rio Grande do Norte;189.495
3698;Caiçara do Rio do Vento;2401909;RN; Rio Grande do Norte;261.191
1536;Cajapió;2102408;MA;Maranhão;908.721
2302;Cajari;2102507;MA;Maranhão;544.050
2193;Cajazeiras;2503704;PB;Paraíba;586.275
2268;Cajazeiras do Piauí;2202075;PI;Piauí;555.553
3513;Cajazeirinhas;2503753;PB;Paraíba;287.891
4906;Cajueiro;2701308;AL;Alagoas;124.344
3635;Cajueiro da Praia;2202083;PI;Piauí;271.348
5461;Caldas Brandão;2503803;PB;Paraíba;55.853
2463;Caldeirão Grande;2905503;BA;Bahia;495.837
2399;Caldeirão Grande do Piauí;2202091;PI;Piauí;514.307
4011;Calumbi;2603405;PE;Pernambuco;221.038
4992;Calçado;2603306;PE;Pernambuco;114.440
2067;Camacan;2905602;BA;Bahia;632.926
2147;Camalaú;2503902;PB;Paraíba;603.060
1570;Camamu;2905800;BA;Bahia;885.195
5463;Camaragibe;2603454;PE;Pernambuco;55.083
1788;Camaçari;2905701;BA;Bahia;759.802
1286;Camocim;2302602;CE;Ceará;1 123.937
5472;Camocim de São Félix;2603504;PE;Pernambuco;53.576
2115;Campestre do Maranhão;2102556;MA;Maranhão;615.379
5469;Campestredesambiguação;2701357;AL;Alagoas;53.988
2098;Campina Grande;2504009;PB;Paraíba;620.628
1726;Campinas do Piauí;2202109;PI;Piauí;796.953
554;Campo Alegre de Lourdes;2905909;BA;Bahia;2 753.919
1798;Campo Alegre do Fidalgo;2202117;PI;Piauí;755.529
3374;Campo Alegredesambiguação;2701407;AL;Alagoas;308.058
3810;Campo de Santanadesambiguação;2516409;PB;Paraíba;246.656
4188;Campo do Brito;2801009;SE;Sergipe;201.724
216;Campo Formoso;2906006;BA;Bahia;6 806.097
4518;Campo Grande;2701506;AL;Alagoas;166.404
3487;Campo Grande do Piauí;2202133;PI;Piauí;291.581
2526;Campo Largo do Piauí;2202174;PI;Piauí;477.915
864;Campo Maiordesambiguação;2202208;PI;Piauí;1 699.383
4074;Campo Redondo;2402105;RN; Rio Grande do Norte;213.729
1329;Campos Sales;2302701;CE;Ceará;1 082.771
5519;Camutanga;2603603;PE;Pernambuco;37.297
2226;Canapi;2701605;AL;Alagoas;571.855
2102;Canaranadesambiguação;2906204;BA;Bahia;617.991
819;Canavieiradesambiguação;2202251;PI;Piauí;1 803.466
1059;Canavieiras;2906303;BA;Bahia;1 375.556
2615;Candeal;2906402;BA;Bahia;455.278
3677;Candeiasdesambiguação;2906501;BA;Bahia;264.487
2873;Candiba;2906600;BA;Bahia;397.965
3824;Canguaretama;2402204;RN; Rio Grande do Norte;245.529
4482;Canhoba;2801108;SE;Sergipe;170.052
2750;Canhotinho;2603702;PE;Pernambuco;423.075
1547;Canindé de São Francisco;2801207;SE;Sergipe;902.251
474;Canindédesambiguação;2302800;CE;Ceará;3 218.423
1104;Cansanção;2906808;BA;Bahia;1 319.495
1724;Cantanhededesambiguação;2102705;MA;Maranhão;797.887
335;Canto do Buriti;2202307;PI;Piauí;4 409.804
519;Canudos;2906824;BA;Bahia;2 984.883
2581;Canápolisdesambiguação;2906105;BA;Bahia;464.307
4153;Capela;2701704;AL;Alagoas;205.283
2664;Capela;2801306;SE;Sergipe;440.716
2010;Capela do Alto Alegre;2906857;BA;Bahia;655.805
5318;Capim;2504033;PB;Paraíba;78.165
3108;Capim Grosso;2906873;BA;Bahia;350.032
2085;Capinzal do Norte;2102754;MA;Maranhão;626.873
4260;Capistrano;2302909;CE;Ceará;194.797
2321;Capitão de Campos;2202406;PI;Piauí;538.681
1296;Capitão Gervásio Oliveira;2202455;PI;Piauí;1 114.408
3193;Capoeiras;2603801;PE;Pernambuco;335.258
2633;Caracol;2202505;PI;Piauí;449.465
646;Caravelasdesambiguação;2906907;BA;Bahia;2 361.278
1285;Caraíbas;2906899;BA;Bahia;1 125.474
2649;Caraúbas;2504074;PB;Paraíba;445.575
1318;Caraúbas;2402303;RN; Rio Grande do Norte;1 095.001
2546;Caraúbas do Piauí;2202539;PI;Piauí;471.447
4359;Cardeal da Silva;2907004;BA;Bahia;184.859
1621;Caridade;2303006;CE;Ceará;846.373
2749;Caridade do Piauí;2202554;PI;Piauí;423.369
555;Carinhanha;2907103;BA;Bahia;2 751.856
2061;Carira;2801405;SE;Sergipe;636.404
2091;Caririaçu;2303204;CE;Ceará;623.823
1795;Cariré;2303105;CE;Ceará;756.893
1352;Cariús;2303303;CE;Ceará;1 061.825
5497;Carmópolis;2801504;SE;Sergipe;45.905
2346;Carnaubais;2402501;RN; Rio Grande do Norte;529.835
3017;Carnaubaldesambiguação;2303402;CE;Ceará;364.750
1397;Carnaubeira da Penha;2603926;PE;Pernambuco;1 010.171
2681;Carnaíba;2603900;PE;Pernambuco;436.981
3819;Carnaúba dos Dantas;2402402;RN; Rio Grande do Norte;245.648
5009;Carneiros;2701803;AL;Alagoas;113.058
226;Carolinadesambiguação;2102804;MA;Maranhão;6 441.559
4712;Carpina;2604007;PE;Pernambuco;146.124
5359;Carrapateira;2504108;PB;Paraíba;72.778
1522;Caruaru;2604106;PE;Pernambuco;920.610
1162;Carutapera;2102903;MA;Maranhão;1 255.555
137;Casa Nova;2907202;BA;Bahia;9 657.505
1641;Cascavel;2303501;CE;Ceará;837.967
4902;Casinhas;2604155;PE;Pernambuco;125.282
4194;Casserengue;2504157;PB;Paraíba;201.379
725;Castelo do Piauí;2202604;PI;Piauí;2 063.960
1784;Castro Alves;2907301;BA;Bahia;762.981
2492;Catarinadesambiguação;2303600;CE;Ceará;486.859
4137;Catende;2604205;PE;Pernambuco;206.923
2347;Catingueira;2504207;PB;Paraíba;529.456
1999;Catolândia;2907400;BA;Bahia;659.717
2283;Catolé do Rocha;2504306;PB;Paraíba;552.098
2670;Catu;2907509;BA;Bahia;439.573
1736;Catunda;2303659;CE;Ceará;790.483
2036;Caturama;2907558;BA;Bahia;646.080
4960;Caturité;2504355;PB;Paraíba;118.089
1189;Caucaia;2303709;CE;Ceará;1 227.895
292;Caxiasdesambiguação;2103000;MA;Maranhão;5 223.981
2488;Caxingó;2202653;PI;Piauí;488.162
2455;Caém;2905107;BA;Bahia;497.467
1832;Ceará-Mirim;2402600;RN; Rio Grande do Norte;739.686
3690;Cedraldesambiguação;2103109;MA;Maranhão;262.278
5305;Cedro de São João;2801603;SE;Sergipe;79.594
1859;Cedrodesambiguação;2303808;CE;Ceará;725.786
4727;Cedrodesambiguação;2604304;PE;Pernambuco;144.085
3009;Central do Maranhão;2103125;MA;Maranhão;366.458
2137;Centraldesambiguação;2907608;BA;Bahia;606.999
1338;Centro do Guilherme;2103158;MA;Maranhão;1 074.039
170;Centro Novo do Maranhão;2103174;MA;Maranhão;8 294.828
2892;Cerro Corádesambiguação;2402709;RN; Rio Grande do Norte;393.569
468;Chapadinha;2103208;MA;Maranhão;3 247.159
3881;Chaval;2303907;CE;Ceará;238.228
3583;Chorozinho;2303956;CE;Ceará;278.400
577;Chorrochó;2907707;BA;Bahia;2 647.887
1693;Choró;2303931;CE;Ceará;815.759
5490;Chã de Alegria;2604403;PE;Pernambuco;48.453
5373;Chã Grande;2604502;PE;Pernambuco;70.192
4200;Chã Preta;2701902;AL;Alagoas;200.802
1000;Cidelândia;2103257;MA;Maranhão;1 464.421
4506;Cipódesambiguação;2907905;BA;Bahia;166.953
3451;Coaraci;2908002;BA;Bahia;296.820
1147;Cocal;2202703;PI;Piauí;1 269.066
3278;Cocal de Telha;2202711;PI;Piauí;322.103
3054;Cocal dos Alves;2202729;PI;Piauí;358.104
133;Cocos;2908101;BA;Bahia;10 084.274
345;Codó;2103307;MA;Maranhão;4 364.499
1439;Coelho Neto;2103406;MA;Maranhão;975.523
5237;Coité do Nóia;2702009;AL;Alagoas;88.488
2415;Coivaras;2202737;PI;Piauí;506.719
739;Colinasdesambiguação;2103505;MA;Maranhão;2 033.570
2712;Colônia do Gurguéia;2202752;PI;Piauí;430.613
1483;Colônia do Piauí;2202778;PI;Piauí;947.934
3517;Colônia Leopoldina;2702108;AL;Alagoas;287.459
4566;Conceição da Feira;2908200;BA;Bahia;159.776
3554;Conceição do Almeida;2908309;BA;Bahia;281.903
1544;Conceição do Canindé;2202802;PI;Piauí;903.884
1327;Conceição do Coité;2908408;BA;Bahia;1 086.224
4982;Conceição do Jacuípe;2908507;BA;Bahia;115.680
1657;Conceição do Lago-Açu;2103554;MA;Maranhão;827.426
2208;Conceiçãodesambiguação;2504405;PB;Paraíba;579.432
3560;Condado;2504504;PB;Paraíba;280.913
5224;Condado;2604601;PE;Pernambuco;89.643
1479;Conde;2908606;BA;Bahia;950.620
4453;Conde;2504603;PB;Paraíba;172.949
1180;Condeúba;2908705;BA;Bahia;1 236.889
3615;Congodesambiguação;2504702;PB;Paraíba;274.075
1591;Contendas do Sincorá;2908804;BA;Bahia;862.085
5510;Coqueiro Seco;2702207;AL;Alagoas;40.262
2977;Coração de Maria;2908903;BA;Bahia;372.315
2271;Cordeiros;2909000;BA;Bahia;554.511
1765;Coreaú;2304004;CE;Ceará;775.746
2949;Coremas;2504801;PB;Paraíba;379.491
570;Coribe;2909109;BA;Bahia;2 678.441
669;Coroatá;2103604;MA;Maranhão;2 263.823
4350;Coronel Ezequiel;2402808;RN; Rio Grande do Norte;185.752
811;Coronel José Dias;2202851;PI;Piauí;1 822.115
4968;Coronel João Pessoa;2402907;RN; Rio Grande do Norte;117.140
1668;Coronel João Sá;2909208;BA;Bahia;825.767
506;Correntedesambiguação;2202901;PI;Piauí;3 051.161
3165;Correntes;2604700;PE;Pernambuco;339.303
104;Correntina;2909307;BA;Bahia;12 142.427
5126;Cortês;2604809;PE;Pernambuco;101.332
1531;Coruripe;2702306;AL;Alagoas;912.716
370;Cotegipe;2909406;BA;Bahia;4 018.594
4948;Coxixola;2504850;PB;Paraíba;119.059
518;Crateús;2304103;CE;Ceará;2 985.411
1398;Cratodesambiguação;2304202;CE;Ceará;1 009.202
4567;Cravolândia;2909505;BA;Bahia;159.645
3608;Craíbas;2702355;AL;Alagoas;275.325
1216;Cristalândia do Piauí;2203008;PI;Piauí;1 202.901
799;Cristino Castro;2203107;PI;Piauí;1 848.690
3758;Cristinápolis;2801702;SE;Sergipe;253.867
1556;Cristópolis;2909703;BA;Bahia;896.458
2424;Crisópolis;2909604;BA;Bahia;505.433
1918;Croatá;2304236;CE;Ceará;700.356
3195;Cruz;2304251;CE;Ceará;334.833
4660;Cruz das Almas;2909802;BA;Bahia;150.903
4243;Cruz do Espírito Santo;2504900;PB;Paraíba;195.596
3461;Cruzeta;2403004;RN; Rio Grande do Norte;295.829
4792;Cubati;2505006;PB;Paraíba;136.965
5513;Cuitegi;2505204;PB;Paraíba;39.302
5046;Cuité de Mamanguape;2505238;PB;Paraíba;109.806
1840;Cuitédesambiguação;2505105;PB;Paraíba;735.334
3481;Cumaru;2604908;PE;Pernambuco;292.242
4865;Cumbedesambiguação;2801900;SE;Sergipe;129.196
5085;Cupira;2605004;PE;Pernambuco;105.924
225;Curaçá;2909901;BA;Bahia;6 442.190
647;Curimatá;2203206;PI;Piauí;2 360.527
486;Currais;2203230;PI;Piauí;3 156.647
1588;Currais Novos;2403103;RN; Rio Grande do Norte;864.341
5254;Curral de Cima;2505279;PB;Paraíba;85.096
1781;Curral Novo do Piauí;2203271;PI;Piauí;765.534
4403;Curral Velho;2505303;PB;Paraíba;180.585
3025;Curralinhos;2203255;PI;Piauí;362.793
1502;Cururupu;2103703;MA;Maranhão;935.586
1039;Custódia;2605103;PE;Pernambuco;1 404.100
849;Cândido Mendes;2102606;MA;Maranhão;1 731.794
1124;Cândido Sales;2906709;BA;Bahia;1 301.378
2003;Cícero Dantas;2907806;BA;Bahia;658.940
5048;Damião;2505352;PB;Paraíba;109.760
3177;Davinópolisdesambiguação;2103752;MA;Maranhão;337.041
2140;Delmiro Gouveia;2702405;AL;Alagoas;605.395
4012;Demerval Lobão;2203305;PI;Piauí;221.023
2554;Deputado Irapuan Pinheiro;2304269;CE;Ceará;470.421
4408;Desterro;2505402;PB;Paraíba;179.388
3645;Diamante;2505600;PB;Paraíba;269.109
4129;Dias d'Ávila;2910057;BA;Bahia;207.504
1403;Dirceu Arcoverde;2203354;PI;Piauí;1 005.706
5204;Divina Pastora;2802007;SE;Sergipe;92.249
4758;Dois Riachos;2702504;AL;Alagoas;140.472
2014;Dom Basílio;2910107;BA;Bahia;653.025
4032;Dom Expedito Lopes;2203404;PI;Piauí;219.070
366;Dom Inocêncio;2203453;PI;Piauí;4 024.385
5196;Dom Macedo Costa;2910206;BA;Bahia;93.215
2991;Dom Pedro;2103802;MA;Maranhão;369.964
1619;Domingos Mourão;2203420;PI;Piauí;846.831
4830;Dona Inês;2505709;PB;Paraíba;132.445
959;Dormentes;2605152;PE;Pernambuco;1 537.588
5064;Doutor Severiano;2403202;RN; Rio Grande do Norte;108.277
5549;Duas Estradas;2505808;PB;Paraíba;26.361
3310;Duque Bacelar;2103901;MA;Maranhão;317.924
2864;Dário Meira;2910008;BA;Bahia;400.330
1136;Elesbão Veloso;2203503;PI;Piauí;1 285.678
1324;Eliseu Martins;2203602;PI;Piauí;1 090.496
4210;Elísio Medrado;2910305;BA;Bahia;199.541
3859;Emas;2505907;PB;Paraíba;240.898
4897;Encantodesambiguação;2403301;RN; Rio Grande do Norte;125.747
736;Encruzilhadadesambiguação;2910404;BA;Bahia;2 041.093
1182;Entre Riosdesambiguação;2910503;BA;Bahia;1 235.821
3672;Equador;2403400;RN; Rio Grande do Norte;264.983
2940;Ererê;2304277;CE;Ceará;382.730
3128;Escada;2605202;PE;Pernambuco;347.197
1533;Esperantina;2203701;PI;Piauí;911.213
2514;Esperantinópolis;2104008;MA;Maranhão;480.943
4527;Esperança;2506004;PB;Paraíba;165.189
1064;Esplanada;2910602;BA;Bahia;1 370.693
4733;Espírito Santo;2403509;RN; Rio Grande do Norte;143.673
563;Estreito;2104057;MA;Maranhão;2 718.960
3680;Estrela de Alagoas;2702553;AL;Alagoas;264.203
2045;Estância;2802106;SE;Sergipe;642.306
654;Euclides da Cunha;2910701;BA;Bahia;2 324.965
1222;Eunápolis;2910727;BA;Bahia;1 196.695
5333;Eusébio;2304285;CE;Ceará;76.583
4900;Extremoz;2403608;RN; Rio Grande do Norte;125.665
994;Exudesambiguação;2605301;PE;Pernambuco;1 473.958
4554;Fagundes;2506103;PB;Paraíba;162.101
2433;Farias Brito;2304301;CE;Ceará;503.574
1878;Fartura do Piauí;2203750;PI;Piauí;717.991
888;Feira da Mata;2910776;BA;Bahia;1 655.819
1069;Feira de Santana;2910800;BA;Bahia;1 362.880
4600;Feira Grande;2702603;AL;Alagoas;155.974
995;Feira Nova do Maranhão;2104073;MA;Maranhão;1 473.272
5070;Feira Novadesambiguação;2605400;PE;Pernambuco;107.745
4334;Feira Novadesambiguação;2802205;SE;Sergipe;188.012
3650;Felipe Guerra;2403707;RN; Rio Grande do Norte;268.427
5210;Feliz Deserto;2702702;AL;Alagoas;91.824
5557;Fernando de Noronha;2605459;PE;Pernambuco;16.987
435;Fernando Falcão;2104081;MA;Maranhão;3 506.445
3275;Fernando Pedroza;2403756;RN; Rio Grande do Norte;322.540
5208;Ferreiros;2605509;PE;Pernambuco;92.103
2247;Filadélfia;2910859;BA;Bahia;564.017
4568;Firmino Alves;2910909;BA;Bahia;159.397
3320;Flexeiras;2702801;AL;Alagoas;315.791
1442;Flores do Piauí;2203800;PI;Piauí;972.209
1476;Floresdesambiguação;2605608;PE;Pernambuco;953.846
417;Floresta;2605707;PE;Pernambuco;3 643.970
3101;Floresta Azul;2911006;BA;Bahia;351.596
4144;Floresta do Piauí;2203859;PI;Piauí;206.144
446;Florianodesambiguação;2203909;PI;Piauí;3 409.664
2429;Florânia;2403806;RN; Rio Grande do Norte;504.022
383;Formosa da Serra Negra;2104099;MA;Maranhão;3 941.185
74;Formosa do Rio Preto;2911105;BA;Bahia;16 185.171
2393;Forquilha;2304350;CE;Ceará;516.988
3336;Fortaleza;2304400;CE;Ceará;313.140
880;Fortaleza dos Nogueiras;2104107;MA;Maranhão;1 664.058
3570;Fortim;2304459;CE;Ceará;280.184
1929;Fortunadesambiguação;2104206;MA;Maranhão;694.981
3754;Francinópolis;2204006;PI;Piauí;254.407
2008;Francisco Ayres;2204105;PI;Piauí;656.448
4391;Francisco Dantas;2403905;RN; Rio Grande do Norte;181.593
4967;Francisco Macedo;2204154;PI;Piauí;117.317
2233;Francisco Santos;2204204;PI;Piauí;569.502
4395;Frecheirinha;2304509;CE;Ceará;181.240
3834;Frei Martinho;2506202;PB;Paraíba;244.315
4083;Frei Miguelinho;2605806;PE;Pernambuco;212.702
2868;Frei Paulo;2802304;SE;Sergipe;399.439
1737;Fronteiras;2204303;PI;Piauí;789.828
5418;Frutuoso Gomes;2404002;RN; Rio Grande do Norte;63.278
3068;Fátima;2910750;BA;Bahia;356.278
4275;Gado Bravo;2506251;PB;Paraíba;192.424
3152;Galinhos;2404101;RN; Rio Grande do Norte;342.442
3728;Gameleira;2605905;PE;Pernambuco;257.716
3945;Gandu;2911204;BA;Bahia;229.121
2541;Garanhuns;2606002;PE;Pernambuco;472.462
2039;Gararu;2802403;SE;Sergipe;644.722
3190;Gavião;2911253;BA;Bahia;335.567
2544;Geminiano;2204352;PI;Piauí;471.570
5553;General Maynard;2802502;SE;Sergipe;20.221
4143;General Sampaio;2304608;CE;Ceará;206.198
411;Gentio do Ouro;2911303;BA;Bahia;3 671.237
437;Gilbués;2204402;PI;Piauí;3 495.016
2437;Girau do Ponciano;2702900;AL;Alagoas;502.150
3926;Glória do Goitá;2606101;PE;Pernambuco;231.185
1041;Glóriadesambiguação;2911402;BA;Bahia;1 402.488
2049;Godofredo Viana;2104305;MA;Maranhão;640.093
2445;Goiana;2606200;PE;Pernambuco;501.170
4278;Goianinha;2404200;RN; Rio Grande do Norte;192.277
4220;Gongogi;2911501;BA;Bahia;198.305
1577;Gonçalves Dias;2104404;MA;Maranhão;875.975
2686;Governador Archer;2104503;MA;Maranhão;435.731
1279;Governador Dix-Sept Rosado;2404309;RN; Rio Grande do Norte;1 129.356
2111;Governador Edison Lobão;2104552;MA;Maranhão;615.850
1688;Governador Eugênio Barros;2104602;MA;Maranhão;816.952
4939;Governador Lomanto Júnior;2903300;BA;Bahia;120.570
2975;Governador Luiz Rocha;2104628;MA;Maranhão;372.991
5180;Governador Mangabeira;2911600;BA;Bahia;94.359
1257;Governador Newton Bello;2104651;MA;Maranhão;1 160.866
1371;Governador Nunes Freire;2104677;MA;Maranhão;1 037.121
3853;Gracho Cardoso;2802601;SE;Sergipe;242.148
197;Grajaúdesambiguação;2104800;MA;Maranhão;7 407.824
2374;Granito;2606309;PE;Pernambuco;521.857
567;Granja;2304707;CE;Ceará;2 697.202
5136;Granjeiro;2304806;CE;Ceará;100.135
2401;Gravatá;2606408;PE;Pernambuco;513.367
3555;Graça;2304657;CE;Ceará;281.890
3634;Graça Aranha;2104701;MA;Maranhão;271.457
4601;Groaíras;2304905;CE;Ceará;155.963
4890;Grossos;2404408;RN; Rio Grande do Norte;126.451
1392;Guadalupe;2204501;PI;Piauí;1 019.645
3657;Guaiúba;2304954;CE;Ceará;267.203
2042;Guajeru;2911659;BA;Bahia;643.439
3718;Guamaré;2404507;RN; Rio Grande do Norte;259.181
1123;Guanambi;2911709;BA;Bahia;1 301.799
4401;Guarabira;2506301;PB;Paraíba;180.764
2125;Guaraciaba do Norte;2305001;CE;Ceará;611.463
5441;Guaramiranga;2305100;CE;Ceará;59.471
655;Guaratinga;2911808;BA;Bahia;2 324.317
349;Guaribas;2204550;PI;Piauí;4 279.673
2163;Guimarães;2104909;MA;Maranhão;598.796
3365;Gurinhém;2506400;PB;Paraíba;309.276
3146;Gurjão;2506509;PB;Paraíba;343.214
3264;Heliópolis;2911857;BA;Bahia;324.005
1455;Hidrolândiadesambiguação;2305209;CE;Ceará;966.572
4562;Horizonte;2305233;CE;Ceará;159.972
3619;Hugo Napoleão;2204600;PI;Piauí;273.721
702;Humberto de Campos;2105005;MA;Maranhão;2 131.079
2065;Iati;2606507;PE;Pernambuco;635.143
621;Iaçu;2911907;BA;Bahia;2 442.840
1575;Ibaretama;2305266;CE;Ceará;877.260
3696;Ibateguara;2703007;AL;Alagoas;261.277
2784;Ibiapina;2305308;CE;Ceará;414.902
3831;Ibiara;2506608;PB;Paraíba;244.480
2943;Ibiassucê;2912004;BA;Bahia;382.472
4044;Ibicaraí;2912103;BA;Bahia;217.914
1437;Ibicoara;2912202;BA;Bahia;977.170
2742;Ibicuitinga;2305332;CE;Ceará;424.242
1254;Ibicuí;2912301;BA;Bahia;1 163.296
